vehicle_number,total_violations,first_violation,last_violation,unique_zones,top_zone,vehicle_type,top_violation_type,span_days,violations_per_month,rank
FKN00GL5259,9,2024-01-05,2024-02-15,1,Basavanagudi,SCOOTER,NO PARKING,42,6.43,843
FKN00GL5281,9,2023-12-10,2024-03-29,1,City Market,LGV,WRONG PARKING,111,2.43,844
FKN00GL5477,9,2023-11-11,2024-03-15,1,Upparpet,PASSENGER AUTO,NO PARKING,126,2.14,845
FKN00GL4243,9,2023-11-18,2024-03-10,1,Shivajinagar,CAR,NO PARKING,114,2.37,846
FKN00GL13235,9,2023-12-13,2024-03-27,1,Shivajinagar,SCOOTER,WRONG PARKING,106,2.55,847
FKN00GL13270,9,2023-11-17,2024-02-08,1,Banashankari,SCOOTER,NO PARKING,84,3.21,848
FKN00GL53950,9,2024-03-02,2024-04-07,2,Rajajinagar,CAR,NO PARKING,37,7.3,849
FKN00GL54029,9,2023-12-04,2023-12-04,1,Rajajinagar,SCOOTER,WRONG PARKING,1,270.0,850
FKN00GL73513,9,2023-11-20,2024-03-02,1,Banashankari,SCOOTER,NO PARKING,104,2.6,851
FKN00GL73560,9,2023-11-11,2024-03-03,1,Upparpet,SCOOTER,NO PARKING,114,2.37,852
FKN00GL74054,9,2023-11-17,2024-03-03,1,Vijayanagara,SCOOTER,WRONG PARKING,108,2.5,853
FKN00GL32393,9,2023-11-15,2024-02-23,1,Malleshwaram,CAR,WRONG PARKING,101,2.67,854
FKN00GL32693,9,2023-11-11,2024-03-17,1,Shivajinagar,SCOOTER,WRONG PARKING,128,2.11,855
FKN00GL61715,9,2023-11-21,2024-04-06,1,Upparpet,SCOOTER,NO PARKING,138,1.96,856
FKN00GL112043,9,2023-11-28,2024-01-08,1,Vijayanagara,SCOOTER,WRONG PARKING,42,6.43,857
FKN00GL75561,9,2023-11-14,2024-01-05,1,High ground,SCOOTER,WRONG PARKING,53,5.09,858
FKN00GL17393,9,2023-11-15,2024-01-20,1,High ground,SCOOTER,WRONG PARKING,67,4.03,859
FKN00GL4743,9,2023-11-10,2024-03-28,2,Upparpet,CAR,NO PARKING,140,1.93,860
FKN00GL22526,9,2024-02-03,2024-02-23,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,21,12.86,861
FKN00GL1887,9,2023-11-20,2024-02-20,2,Cubbon Park,SCOOTER,NO PARKING,93,2.9,862
FKN00GL1014,9,2023-11-18,2024-03-16,1,Chamarajpet,LGV,NO PARKING,120,2.25,863
FKN00GL90621,9,2023-11-12,2024-02-29,2,Upparpet,SCOOTER,NO PARKING,110,2.45,864
FKN00GL9074,9,2023-11-11,2024-02-01,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,83,3.25,865
FKN00GL90902,9,2023-11-15,2024-01-16,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,63,4.29,866
FKN00GL10016,9,2023-11-15,2024-03-02,1,HAL Old Airport,MOTOR CYCLE,WRONG PARKING,109,2.48,867
FKN00GL10539,9,2024-01-27,2024-04-05,1,HSR Layout,GOODS AUTO,WRONG PARKING,70,3.86,868
FKN00GL15622,9,2023-12-28,2024-04-04,2,City Market,PASSENGER AUTO,WRONG PARKING,99,2.73,869
FKN00GL64048,9,2024-03-12,2024-03-27,1,Kodigehalli,SCOOTER,WRONG PARKING,16,16.88,870
FKN00GL64064,9,2023-11-28,2024-04-05,1,Malleshwaram,SCOOTER,WRONG PARKING,130,2.08,871
FKN00GL6425,9,2023-11-19,2024-03-29,1,Wilson Garden,CAR,NO PARKING,132,2.05,872
FKN00GL111010,9,2023-11-16,2023-12-24,1,Basavanagudi,SCOOTER,NO PARKING,39,6.92,873
FKN00GL7331,9,2024-02-03,2024-03-21,1,HAL Old Airport,MOTOR CYCLE,PARKING IN A MAIN ROAD,48,5.62,874
FKN00GL127897,9,2023-11-14,2024-01-02,1,High ground,SCOOTER,WRONG PARKING,50,5.4,875
FKN00GL51620,9,2024-02-17,2024-03-16,1,Kodigehalli,SCOOTER,WRONG PARKING,29,9.31,876
FKN00GL5164,9,2024-01-10,2024-03-28,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,79,3.42,877
FKN00GL52216,9,2024-03-07,2024-04-08,2,Hebbala,SCOOTER,NO PARKING,33,8.18,878
FKN00GL5230,9,2023-11-17,2024-03-28,1,Vijayanagara,SCOOTER,WRONG PARKING,133,2.03,879
FKN00GL52316,9,2024-02-04,2024-02-21,1,Malleshwaram,PASSENGER AUTO,NO PARKING,18,15.0,880
FKN00GL5232,9,2023-12-05,2024-02-22,1,Vijayanagara,SCOOTER,NO PARKING,80,3.38,881
FKN00GL122701,9,2023-11-11,2023-11-27,2,Rajajinagar,CAR,WRONG PARKING,17,15.88,882
FKN00GL4527,9,2024-02-22,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,36,7.5,883
FKN00GL45904,9,2023-11-20,2024-04-03,2,Rajajinagar,SCOOTER,WRONG PARKING,136,1.99,884
FKN00GL2698,9,2023-11-23,2024-03-28,1,Vijayanagara,SCOOTER,WRONG PARKING,127,2.13,885
FKN00GL2734,9,2023-12-21,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,99,2.73,886
FKN00GL27485,9,2023-11-10,2024-03-18,2,Rajajinagar,GOODS AUTO,WRONG PARKING,130,2.08,887
FKN00GL109364,9,2023-11-17,2024-01-10,1,Vijayanagara,SCOOTER,NO PARKING,55,4.91,888
FKN00GL3066,9,2023-12-03,2024-03-28,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,117,2.31,889
FKN00GL30739,9,2023-11-12,2024-04-08,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,149,1.81,890
FKN00GL30947,9,2023-11-29,2024-03-12,1,HAL Old Airport,MOTOR CYCLE,WRONG PARKING,105,2.57,891
FKN00GL31034,9,2023-11-13,2024-04-07,1,Shivajinagar,SCOOTER,WRONG PARKING,147,1.84,892
FKN00GL1569,9,2023-11-21,2024-01-24,1,Ashok Nagar,SCOOTER,NO PARKING,65,4.15,893
FKN00GL12329,9,2023-12-09,2024-03-21,1,Vijayanagara,CAR,WRONG PARKING,104,2.6,894
FKN00GL123430,9,2023-11-12,2023-11-27,1,Shivajinagar,SCOOTER,NO PARKING,16,16.88,895
FKN00GL0794,9,2023-11-28,2023-12-29,1,Rajajinagar,CAR,NO PARKING,32,8.44,896
FKN00GL21620,9,2024-02-06,2024-04-03,1,Malleshwaram,PASSENGER AUTO,WRONG PARKING,58,4.66,897
FKN00GL21803,9,2023-11-11,2024-02-06,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,88,3.07,898
FKN00GL19009,9,2023-11-17,2024-01-10,1,Vijayanagara,SCOOTER,NO PARKING,55,4.91,899
FKN00GL22299,9,2024-02-06,2024-02-06,1,Hennuru,MOTOR CYCLE,NO PARKING,1,270.0,900
FKN00GL47817,9,2024-02-19,2024-02-19,1,Electronic City,CAR,WRONG PARKING,1,270.0,901
FKN00GL155673,9,2023-12-18,2024-01-03,1,Malleshwaram,SCOOTER,NO PARKING,17,15.88,902
FKN00GL27726,9,2023-11-16,2024-02-07,1,Upparpet,SCOOTER,NO PARKING,84,3.21,903
FKN00GL7147,9,2024-01-03,2024-02-07,1,Jalahalli,SCOOTER,NO PARKING,36,7.5,904
FKN00GL71582,9,2023-11-21,2024-03-23,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,124,2.18,905
FKN00GL105315,9,2023-12-31,2024-01-22,1,Kodigehalli,SCOOTER,WRONG PARKING,23,11.74,906
FKN00GL16943,9,2024-01-08,2024-01-22,1,Magadi Road,SCOOTER,NO PARKING,15,18.0,907
FKN00GL16075,9,2023-11-11,2024-03-28,2,Upparpet,LGV,NO PARKING,139,1.94,908
FKN00GL66352,9,2023-11-17,2024-03-23,1,Shivajinagar,SCOOTER,WRONG PARKING,128,2.11,909
FKN00GL4939,9,2023-11-22,2024-03-28,1,Vijayanagara,SCOOTER,WRONG PARKING,128,2.11,910
FKN00GL4993,9,2023-12-22,2024-03-12,1,HAL Old Airport,SCOOTER,WRONG PARKING,82,3.29,911
FKN00GL5019,9,2023-11-15,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,135,2.0,912
FKN00GL125181,9,2023-11-24,2023-12-30,1,High ground,SCOOTER,WRONG PARKING,37,7.3,913
FKN00GL48686,9,2024-02-19,2024-02-24,1,Electronic City,MOTOR CYCLE,WRONG PARKING,6,45.0,914
FKN00GL50571,9,2024-01-06,2024-02-23,1,HAL Old Airport,CAR,NO PARKING,49,5.51,915
FKN00GL5083,9,2023-12-15,2024-03-26,1,HAL Old Airport,MOTOR CYCLE,PARKING IN A MAIN ROAD,103,2.62,916
FKN00GL6558,9,2023-11-21,2024-02-02,1,Mico Layout,MOTOR CYCLE,NO PARKING,74,3.65,917
FKN00GL2804,9,2023-11-17,2024-03-22,1,HAL Old Airport,SCOOTER,WRONG PARKING,127,2.13,918
FKN00GL2855,9,2024-01-10,2024-02-03,1,HAL Old Airport,SCOOTER,NO PARKING,25,10.8,919
FKN00GL69929,9,2023-11-25,2024-03-08,1,Upparpet,SCOOTER,NO PARKING,105,2.57,920
FKN00GL2948,9,2024-02-16,2024-03-18,2,Electronic City,LORRY/GOODS VEHICLE,WRONG PARKING,32,8.44,921
FKN00GL16342,9,2023-12-13,2024-03-06,1,Jayanagara,SCOOTER,NO PARKING,85,3.18,922
FKN00GL68083,9,2023-12-13,2024-03-01,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,80,3.38,923
FKN00GL68100,9,2023-11-17,2024-03-23,1,Shivajinagar,SCOOTER,NO PARKING,128,2.11,924
FKN00GL68641,9,2023-11-11,2024-03-23,1,Jeevanbheemanagar,SCOOTER,WRONG PARKING,134,2.01,925
FKN00GL0267,9,2023-11-16,2023-12-15,1,High ground,SCOOTER,WRONG PARKING,30,9.0,926
FKN00GL98967,9,2023-11-29,2024-03-21,1,Upparpet,PASSENGER AUTO,WRONG PARKING,114,2.37,927
FKN00GL20384,9,2024-01-22,2024-02-05,2,Banaswadi,CAR,WRONG PARKING,15,18.0,928
FKN00GL9948,9,2023-12-01,2024-02-24,1,Vijayanagara,SCOOTER,WRONG PARKING,86,3.14,929
FKN00GL20299,9,2024-01-13,2024-03-29,1,Chamarajpet,LGV,WRONG PARKING,77,3.51,930
FKN00GL19672,9,2023-11-15,2024-03-12,2,HAL Old Airport,SCOOTER,NO PARKING,119,2.27,931
FKN00GL9859,8,2023-11-15,2024-04-06,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,144,1.67,932
FKN00GL1956,8,2023-11-23,2024-03-18,1,Shivajinagar,SCOOTER,WRONG PARKING,117,2.05,933
FKN00GL9985,8,2023-12-15,2024-03-12,1,Vijayanagara,MOTOR CYCLE,WRONG PARKING,89,2.7,934
FKN00GL48723,8,2023-11-10,2024-04-03,3,Malleshwaram,PASSENGER AUTO,WRONG PARKING,146,1.64,935
FKN00GL12620,8,2024-02-04,2024-02-14,2,Yelahanka,SCOOTER,WRONG PARKING,11,21.82,936
FKN00GL126280,8,2023-11-17,2023-12-28,1,Yeshwanthpura,CAR,NO PARKING,42,5.71,937
FKN00GL48854,8,2023-11-27,2024-02-19,1,Malleshwaram,SCOOTER,WRONG PARKING,85,2.82,938
FKN00GL5059,8,2024-02-20,2024-03-28,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,38,6.32,939
FKN00GL12318,8,2023-11-12,2024-03-21,4,Upparpet,MAXI-CAB,NO PARKING,131,1.83,940
FKN00GL0835,8,2023-11-19,2024-03-18,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,121,1.98,941
FKN00GL1922,8,2023-11-18,2024-04-02,1,Shivajinagar,SCOOTER,WRONG PARKING,137,1.75,942
FKN00GL21713,8,2024-01-12,2024-03-15,1,Shivajinagar,SCOOTER,NO PARKING,64,3.75,943
FKN00GL21825,8,2023-11-20,2024-02-18,2,Vijayanagara,MOTOR CYCLE,NO PARKING,91,2.64,944
FKN00GL47814,8,2024-02-19,2024-02-19,1,Electronic City,MOTOR CYCLE,WRONG PARKING,1,240.0,945
FKN00GL47815,8,2024-02-19,2024-02-19,1,Electronic City,SCOOTER,WRONG PARKING,1,240.0,946
FKN00GL12774,8,2023-11-11,2024-03-29,1,Shivajinagar,SCOOTER,WRONG PARKING,140,1.71,947
FKN00GL51520,8,2023-11-15,2024-03-15,1,City Market,PASSENGER AUTO,WRONG PARKING,122,1.97,948
FKN00GL5178,8,2023-12-09,2024-02-19,1,J.P. Nagar,LGV,NO PARKING,73,3.29,949
FKN00GL5179,8,2023-11-21,2024-02-15,1,J.P. Nagar,CAR,NO PARKING,87,2.76,950
FKN00GL66361,8,2023-11-14,2024-03-23,1,Shivajinagar,SCOOTER,WRONG PARKING,131,1.83,951
FKN00GL66444,8,2023-11-15,2024-02-27,1,Shivajinagar,SCOOTER,WRONG PARKING,105,2.29,952
FKN00GL66555,8,2023-12-03,2024-02-27,2,Hulimavu,SCHOOL VEHICLE,WRONG PARKING,87,2.76,953
FKN00GL108779,8,2023-11-14,2023-11-29,1,Shivajinagar,CAR,NO PARKING,16,15.0,954
FKN00GL6536,8,2023-12-17,2024-04-01,1,Mico Layout,MOTOR CYCLE,NO PARKING,107,2.24,955
FKN00GL6552,8,2023-12-19,2024-04-06,1,Rajajinagar,SCOOTER,WRONG PARKING,110,2.18,956
FKN00GL28078,8,2023-11-22,2024-02-23,1,HAL Old Airport,FACTORY BUS,PARKING IN A MAIN ROAD,94,2.55,957
FKN00GL106168,8,2023-12-03,2024-01-16,1,Upparpet,CAR,NO PARKING,45,5.33,958
FKN00GL107777,8,2023-11-14,2024-03-27,1,Shivajinagar,SCOOTER,WRONG PARKING,135,1.78,959
FKN00GL69121,8,2023-11-10,2024-04-07,1,Upparpet,GOODS AUTO,WRONG PARKING,150,1.6,960
FKN00GL69386,8,2023-12-15,2024-03-06,1,Upparpet,SCOOTER,WRONG PARKING,83,2.89,961
FKN00GL69935,8,2023-12-14,2024-03-11,1,Upparpet,SCOOTER,NO PARKING,89,2.7,962
FKN00GL69940,8,2023-11-18,2024-03-04,1,Upparpet,SCOOTER,NO PARKING,108,2.22,963
FKN00GL10584,8,2023-11-11,2024-02-21,2,Malleshwaram,PASSENGER AUTO,WRONG PARKING,103,2.33,964
FKN00GL28941,8,2023-11-15,2024-03-05,2,Rajajinagar,SCOOTER,NO PARKING,112,2.14,965
FKN00GL2938,8,2024-03-08,2024-04-02,2,Hulimavu,CAR,WRONG PARKING,26,9.23,966
FKN00GL2716,8,2024-01-01,2024-02-23,1,HAL Old Airport,SCOOTER,WRONG PARKING,54,4.44,967
FKN00GL27670,8,2023-12-10,2024-03-18,1,Shivajinagar,PASSENGER AUTO,NO PARKING,100,2.4,968
FKN00GL66155,8,2023-12-07,2024-03-03,1,K.G. Halli,LGV,NO PARKING,88,2.73,969
FKN00GL30564,8,2023-12-05,2024-03-25,1,K.R. Pura,PASSENGER AUTO,WRONG PARKING,112,2.14,970
FKN00GL31179,8,2023-11-17,2023-12-20,1,High ground,SCOOTER,WRONG PARKING,34,7.06,971
FKN00GL15652,8,2024-01-13,2024-03-12,1,Madiwala,PASSENGER AUTO,NO PARKING,60,4.0,972
FKN00GL1578,8,2023-11-12,2024-01-24,1,Shivajinagar,SCOOTER,NO PARKING,74,3.24,973
FKN00GL3212,8,2023-12-21,2024-03-29,1,Vijayanagara,SCOOTER,WRONG PARKING,100,2.4,974
FKN00GL27772,8,2023-12-11,2024-03-27,1,Shivajinagar,PASSENGER AUTO,NO PARKING,108,2.22,975
FKN00GL27775,8,2024-01-07,2024-03-03,1,Vijayanagara,MOTOR CYCLE,NO PARKING,57,4.21,976
FKN00GL16675,8,2023-11-29,2024-04-03,1,Upparpet,SCOOTER,WRONG PARKING,127,1.89,977
FKN00GL105938,8,2023-11-12,2024-01-07,1,Shivajinagar,MOTOR CYCLE,NO PARKING,57,4.21,978
FKN00GL105130,8,2023-12-26,2024-01-03,1,Malleshwaram,SCOOTER,NO PARKING,9,26.67,979
FKN00GL27790,8,2023-11-26,2024-03-08,2,Wilson Garden,CAR,NO PARKING,104,2.31,980
FKN00GL30470,8,2023-11-15,2024-03-21,3,Halasur,PASSENGER AUTO,NO PARKING,128,1.88,981
FKN00GL66323,8,2023-11-19,2024-03-01,2,Shivajinagar,SCOOTER,WRONG PARKING,104,2.31,982
FKN00GL1055,8,2024-02-02,2024-04-01,1,HAL Old Airport,SCOOTER,NO PARKING,60,4.0,983
FKN00GL7202,8,2023-12-26,2024-03-11,1,Upparpet,SCOOTER,WRONG PARKING,77,3.12,984
FKN00GL105052,8,2023-12-16,2024-01-06,1,Malleshwaram,CAR,WRONG PARKING,22,10.91,985
FKN00GL32324,8,2023-11-18,2024-03-30,2,City Market,PASSENGER AUTO,WRONG PARKING,134,1.79,986
FKN00GL110837,8,2023-11-17,2024-01-21,1,Vijayanagara,SCOOTER,WRONG PARKING,66,3.64,987
FKN00GL111004,8,2023-11-13,2024-01-14,1,Upparpet,SCOOTER,NO PARKING,63,3.81,988
FKN00GL111071,8,2023-12-02,2024-01-05,2,Jeevanbheemanagar,MOTOR CYCLE,NO PARKING,35,6.86,989
FKN00GL1111,8,2023-11-15,2024-03-15,1,HAL Old Airport,CAR,NO PARKING,122,1.97,990
FKN00GL6326,8,2023-11-11,2024-03-30,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,141,1.7,991
FKN00GL111310,8,2023-11-10,2023-12-21,1,Vijayanagara,MOTOR CYCLE,NO PARKING,42,5.71,992
FKN00GL111604,8,2023-11-17,2023-12-24,1,Vijayanagara,SCOOTER,WRONG PARKING,38,6.32,993
FKN00GL7299,8,2023-11-14,2024-04-04,1,Upparpet,LGV,WRONG PARKING,143,1.68,994
FKN00GL16967,8,2023-12-22,2024-01-13,2,HAL Old Airport,CAR,NO PARKING,23,10.43,995
FKN00GL17021,8,2024-01-02,2024-03-06,1,HAL Old Airport,SCOOTER,NO PARKING,65,3.69,996
FKN00GL17027,8,2023-12-06,2024-04-01,2,Malleshwaram,CAR,WRONG PARKING,118,2.03,997
FKN00GL17057,8,2024-01-11,2024-04-02,1,HAL Old Airport,SCOOTER,NO PARKING,83,2.89,998
FKN00GL77238,8,2023-11-18,2024-03-21,1,Upparpet,CAR,WRONG PARKING,125,1.92,999
FKN00GL2631,8,2024-01-24,2024-04-07,2,Halasur,CAR,NO PARKING,75,3.2,1000
FKN00GL17369,8,2023-12-16,2024-04-06,1,HAL Old Airport,MOTOR CYCLE,WRONG PARKING,113,2.12,1001
FKN00GL7346,8,2023-11-17,2024-02-03,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,79,3.04,1002
FKN00GL75024,8,2023-11-14,2024-02-03,1,Whitefield,CAR,NO PARKING,82,2.93,1003
FKN00GL3258,8,2023-12-01,2024-02-02,1,Vijayanagara,SCOOTER,WRONG PARKING,64,3.75,1004
FKN00GL32676,8,2023-11-11,2024-02-11,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,93,2.58,1005
FKN00GL11272,8,2024-01-18,2024-03-16,1,City Market,SCOOTER,WRONG PARKING,59,4.07,1006
FKN00GL111770,8,2023-11-15,2023-12-14,2,Vijayanagara,SCOOTER,NO PARKING,30,8.0,1007
FKN00GL111918,8,2023-11-12,2024-01-08,1,Upparpet,MOTOR CYCLE,WRONG PARKING,58,4.14,1008
FKN00GL62978,8,2023-12-12,2024-03-02,1,Shivajinagar,CAR,WRONG PARKING,82,2.93,1009
FKN00GL15379,8,2023-11-19,2024-02-12,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,86,2.79,1010
FKN00GL104850,8,2023-11-21,2024-01-29,1,High ground,SCOOTER,WRONG PARKING,70,3.43,1011
FKN00GL26486,8,2024-03-13,2024-03-13,1,Hulimavu,SCOOTER,WRONG PARKING,1,240.0,1012
FKN00GL17286,8,2023-12-21,2024-03-12,2,Ashok Nagar,SCOOTER,NO PARKING,83,2.89,1013
FKN00GL10544,8,2024-01-27,2024-04-05,1,HSR Layout,LGV,WRONG PARKING,70,3.43,1014
FKN00GL1752,8,2023-11-17,2024-03-30,3,Shivajinagar,PASSENGER AUTO,NO PARKING,135,1.78,1015
FKN00GL76219,8,2023-11-18,2024-04-07,1,Rajajinagar,MAXI-CAB,WRONG PARKING,142,1.69,1016
FKN00GL76243,8,2023-11-18,2024-03-25,1,Rajajinagar,CAR,WRONG PARKING,129,1.86,1017
FKN00GL76244,8,2024-01-05,2024-03-20,1,Rajajinagar,MAXI-CAB,WRONG PARKING,76,3.16,1018
FKN00GL76646,8,2023-11-12,2024-03-23,1,K.R. Pura,PASSENGER AUTO,WRONG PARKING,133,1.8,1019
FKN00GL3311,8,2023-11-10,2024-03-14,1,Rajajinagar,MOTOR CYCLE,WRONG PARKING,126,1.9,1020
FKN00GL15209,8,2023-11-24,2024-03-24,2,High ground,SCOOTER,NO PARKING,122,1.97,1021
FKN00GL15216,8,2023-12-02,2024-01-23,1,High ground,SCOOTER,WRONG PARKING,53,4.53,1022
FKN00GL15274,8,2023-12-16,2024-02-23,1,Upparpet,CAR,WRONG PARKING,70,3.43,1023
FKN00GL113909,8,2023-11-21,2024-01-09,1,Shivajinagar,SCOOTER,WRONG PARKING,50,4.8,1024
FKN00GL114033,8,2023-11-16,2023-12-30,1,Upparpet,CAR,WRONG PARKING,45,5.33,1025
FKN00GL60181,8,2024-01-29,2024-02-24,1,Pulikeshinagar(F.Town),CAR,WRONG PARKING,27,8.89,1026
FKN00GL60898,8,2023-11-15,2024-03-13,1,Shivajinagar,SCOOTER,WRONG PARKING,120,2.0,1027
FKN00GL60969,8,2023-12-24,2024-02-25,1,Upparpet,CAR,WRONG PARKING,64,3.75,1028
FKN00GL3347,8,2023-12-20,2024-03-20,1,Malleshwaram,CAR,WRONG PARKING,92,2.61,1029
FKN00GL33487,8,2024-02-11,2024-04-01,1,Upparpet,CAR,NO PARKING,51,4.71,1030
FKN00GL7736,8,2023-12-16,2024-02-23,1,Upparpet,MOTOR CYCLE,NO PARKING,70,3.43,1031
FKN00GL77404,8,2023-11-23,2024-02-21,1,Malleshwaram,SCOOTER,WRONG PARKING,91,2.64,1032
FKN00GL78821,8,2024-03-06,2024-03-06,1,Pulikeshinagar(F.Town),CAR,NO PARKING,1,240.0,1033
FKN00GL79291,8,2023-12-13,2024-03-11,1,HAL Old Airport,MOTOR CYCLE,WRONG PARKING,90,2.67,1034
FKN00GL3361,8,2023-11-15,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,135,1.78,1035
FKN00GL3398,8,2024-01-16,2024-02-06,1,Vijayanagara,CAR,WRONG PARKING,22,10.91,1036
FKN00GL3409,8,2023-12-19,2024-04-01,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,105,2.29,1037
FKN00GL15100,8,2023-12-22,2024-04-04,1,Shivajinagar,SCOOTER,WRONG PARKING,105,2.29,1038
FKN00GL58048,8,2023-11-11,2024-02-24,1,Shivajinagar,SCOOTER,WRONG PARKING,106,2.26,1039
FKN00GL58073,8,2023-11-14,2024-03-17,1,Shivajinagar,SCOOTER,WRONG PARKING,125,1.92,1040
FKN00GL5840,8,2023-11-13,2024-04-05,1,Kodigehalli,SCOOTER,WRONG PARKING,145,1.66,1041
FKN00GL5841,8,2024-02-01,2024-03-31,2,Hulimavu,FACTORY BUS,WRONG PARKING,60,4.0,1042
FKN00GL25469,8,2023-11-14,2024-02-05,1,HAL Old Airport,SCOOTER,NO PARKING,84,2.86,1043
FKN00GL25922,8,2024-01-31,2024-04-07,1,Rajajinagar,CAR,WRONG PARKING,68,3.53,1044
FKN00GL25925,8,2023-12-13,2024-03-01,1,HAL Old Airport,SCOOTER,WRONG PARKING,80,3.0,1045
FKN00GL17413,8,2024-01-08,2024-01-18,2,HAL Old Airport,CAR,WRONG PARKING,11,21.82,1046
FKN00GL8028,8,2024-01-16,2024-03-14,2,Vijayanagara,CAR,WRONG PARKING,59,4.07,1047
FKN00GL36191,8,2024-02-13,2024-02-13,1,HSR Layout,SCOOTER,WRONG PARKING,1,240.0,1048
FKN00GL36194,8,2024-02-13,2024-02-13,1,HSR Layout,SCOOTER,WRONG PARKING,1,240.0,1049
FKN00GL114087,8,2023-11-20,2023-12-14,2,High ground,MAXI-CAB,WRONG PARKING,25,9.6,1050
FKN00GL11416,8,2023-12-23,2024-02-26,2,Rajajinagar,CAR,WRONG PARKING,66,3.64,1051
FKN00GL59639,8,2023-12-08,2024-03-11,1,K.R. Pura,PASSENGER AUTO,WRONG PARKING,95,2.53,1052
FKN00GL11305,8,2023-12-02,2024-03-26,2,HAL Old Airport,MOTOR CYCLE,WRONG PARKING,116,2.07,1053
FKN00GL113570,8,2023-11-21,2023-12-30,2,Upparpet,CAR,WRONG PARKING,40,6.0,1054
FKN00GL113738,8,2023-11-14,2024-01-14,1,Shivajinagar,SCOOTER,WRONG PARKING,62,3.87,1055
FKN00GL3425,8,2023-11-26,2024-03-09,1,Shivajinagar,SCOOTER,NO PARKING,105,2.29,1056
FKN00GL3427,8,2024-02-14,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,44,5.45,1057
FKN00GL35525,8,2023-11-18,2024-04-04,5,Malleshwaram,PASSENGER AUTO,WRONG PARKING,139,1.73,1058
FKN00GL80295,8,2023-11-14,2024-03-07,2,City Market,LGV,NO PARKING,115,2.09,1059
FKN00GL24939,8,2024-02-07,2024-02-07,1,Upparpet,SCOOTER,WRONG PARKING,1,240.0,1060
FKN00GL24953,8,2024-02-07,2024-02-07,1,Upparpet,SCOOTER,WRONG PARKING,1,240.0,1061
FKN00GL25227,8,2023-11-17,2024-04-07,1,Shivajinagar,SCOOTER,NO PARKING,143,1.68,1062
FKN00GL102694,8,2023-11-27,2023-12-20,2,Hebbala,MOTOR CYCLE,NO PARKING,24,10.0,1063
FKN00GL17813,8,2023-12-01,2024-03-06,1,HAL Old Airport,SCOOTER,NO PARKING,97,2.47,1064
FKN00GL114529,8,2023-12-06,2024-01-06,1,Vijayanagara,SCOOTER,WRONG PARKING,32,7.5,1065
FKN00GL5804,8,2023-11-13,2024-04-05,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,145,1.66,1066
FKN00GL36195,8,2024-02-13,2024-02-13,1,HSR Layout,MOTOR CYCLE,WRONG PARKING,1,240.0,1067
FKN00GL36196,8,2024-02-13,2024-02-13,1,HSR Layout,SCOOTER,WRONG PARKING,1,240.0,1068
FKN00GL36198,8,2024-02-13,2024-02-13,1,HSR Layout,SCOOTER,WRONG PARKING,1,240.0,1069
FKN00GL144766,8,2023-12-10,2024-01-09,2,Vijayanagara,LGV,WRONG PARKING,31,7.74,1070
FKN00GL14517,8,2023-11-21,2024-01-24,1,Ashok Nagar,MOTOR CYCLE,NO PARKING,65,3.69,1071
FKN00GL36585,8,2024-02-13,2024-03-30,1,Rajajinagar,MOPED,WRONG PARKING,47,5.11,1072
FKN00GL36587,8,2024-01-05,2024-02-27,1,Rajajinagar,SCOOTER,WRONG PARKING,54,4.44,1073
FKN00GL17828,8,2023-12-27,2024-02-22,1,HAL Old Airport,SCOOTER,NO PARKING,58,4.14,1074
FKN00GL17856,8,2023-11-15,2024-02-14,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,92,2.61,1075
FKN00GL103618,8,2023-11-10,2023-12-12,2,Upparpet,PASSENGER AUTO,NO PARKING,33,7.27,1076
FKN00GL79398,8,2023-11-15,2024-02-24,1,HAL Old Airport,SCOOTER,NO PARKING,102,2.35,1077
FKN00GL103054,8,2023-12-04,2023-12-04,1,Rajajinagar,SCOOTER,WRONG PARKING,1,240.0,1078
FKN00GL36748,8,2023-12-14,2024-03-13,1,Vijayanagara,SCOOTER,WRONG PARKING,91,2.64,1079
